Date,Time,Hours,day of week,total,Place Eng,Day Time ,Amount of items ,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
11/07/2019,15:35:00,15,Thur,23800,Unknown,Afternoon,6,1,,,1,,,3,,,,,,,,,,,,,1,,,
11/07/2019,16:10:00,16,Thur,15800,Unknown,Evening,3,1,,,,,,1,,,,,,,,,,,1,,,,,
12/07/2019,11:49:00,11,Fri,58000,Unknown,Morning,14,,,,,,,14,,,,,,,,,,,,,,,,
13/07/2019,13:19:00,13,Sat,14800,Unknown,Afternoon,3,1,1,,,,,,,,,,,,,,,,,,1,,,
13/07/2019,13:22:00,13,Sat,15600,Unknown,Afternoon,3,2,,,,,,1,,,,,,,,,,,,,,,,
13/07/2019,14:54:00,14,Sat,15800,Unknown,Afternoon,3,1,,,,,,,,,,,,1,,,,,,,1,,,
13/07/2019,15:08:00,15,Sat,15800,Unknown,Afternoon,3,1,,,,,,,,,,,,,,,,,1,,1,,,
13/07/2019,15:09:00,15,Sat,14000,Unknown,Afternoon,3,,,,,,,2,1,,,,,,,,,,,,,,,
13/07/2019,15:23:00,15,Sat,19100,Unknown,Afternoon,4,2,1,,,,,1,,,,,,,,,,,,,,,,
13/07/2019,16:32:00,16,Sat,22300,Unknown,Evening,4,1,1,,,,,1,1,,,,,,,,,,,,,,,
14/07/2019,11:08:00,11,Sun,15300,Unknown,Morning,3,1,,,,,,1,,,,,,,,,,,,,1,,,
14/07/2019,11:15:00,11,Sun,27600,Unknown,Morning,6,2,,,3,,,1,,,,,,,,,,,,,,,,
14/07/2019,11:44:00,11,Sun,26300,Unknown,Morning,6,1,,,,,,2,2,,,,,,,,,,,,1,,,
14/07/2019,11:59:00,11,Sun,19800,Unknown,Morning,4,1,,,,,,1,,,,,,,,,,,1,,1,,,
14/07/2019,12:59:00,12,Sun,18300,Unknown,Morning,3,1,,,,,,,1,,,,,,,,,,1,,,,,
14/07/2019,13:05:00,13,Sun,15600,Unknown,Afternoon,3,2,,,,,,1,,,,,,,,,,,,,,,,
14/07/2019,14:06:00,14,Sun,23600,Unknown,Afternoon,5,2,,,,,,1,1,,,,,,,,,,1,,,,,
14/07/2019,14:41:00,14,Sun,20100,Unknown,Afternoon,4,2,,,,,,1,,,,,,,,,,,,,1,,,
14/07/2019,14:51:00,14,Sun,25600,Unknown,Afternoon,5,2,,1,,,1,,,,,,,,,,,,1,,,,,
14/07/2019,15:02:00,15,Sun,19800,Unknown,Afternoon,4,1,,,,,,1,,,,,,,,,,,1,,1,,,
15/07/2019,11:45:00,11,Mon,15100,Unknown,Morning,3,2,,,,,,,1,,,,,,,,,,,,,,,
15/07/2019,16:21:00,16,Mon,15800,Unknown,Evening,3,1,,,,,,1,,,,,,,,,,1,,,,,,
17/07/2019,11:47:00,11,Wed,17800,Unknown,Morning,3,1,1,,,,,1,,,,,,,,,,,,,,,,
17/07/2019,13:23:00,13,Wed,14800,Unknown,Afternoon,5,3,,,,1,,,,1,,,,,,,,,,,,,,
17/07/2019,14:16:00,14,Wed,23400,Unknown,Afternoon,5,1,,2,,,,,,,,,,,1,,,,1,,,,,
17/07/2019,16:32:00,16,Wed,18100,Unknown,Evening,3,1,1,,,,,,,,,,,,,,,,,,,1,,
19/07/2019,11:43:00,11,Fri,14800,Unknown,Morning,4,1,,,,1,,1,,1,,,,,,,,,,,,,,
19/07/2019,12:11:00,12,Fri,15800,Unknown,Morning,3,1,,,,,,,,,,,,,,,,,1,,,1,,
19/07/2019,12:36:00,12,Fri,21800,Unknown,Morning,5,1,,,,1,,2,,1,,,,,,,,,,,,,,
19/07/2019,12:44:00,12,Fri,20600,Unknown,Morning,4,2,,,,,,1,,,,,,,,,,,1,,,,,
19/07/2019,13:35:00,13,Fri,14800,Unknown,Afternoon,3,1,,,,1,,1,,,,,,,,,,,,,,,,
19/07/2019,13:50:00,13,Fri,15100,Unknown,Afternoon,3,2,,,,,,,,1,,,,,,,,,,,,,,
19/07/2019,14:12:00,14,Fri,58000,Unknown,Afternoon,16,,,,,16,,,,,,,,,,,,,,,,,,
19/07/2019,15:33:00,15,Fri,35900,Unknown,Afternoon,8,3,,,,3,,2,,,,,,,,,,,,,,,,
20/07/2019,11:19:00,11,Sat,15800,Unknown,Morning,3,1,,,,,,,,,,,,1,,,,,1,,,,,
20/07/2019,11:35:00,11,Sat,18800,Unknown,Morning,4,1,,,1,1,1,,,,,,,,,,,,,,,,,
20/07/2019,11:40:00,11,Sat,22800,Unknown,Morning,6,1,,1,,,,1,,1,,,,,1,,,,,,,,1,
20/07/2019,11:44:00,11,Sat,16400,Unknown,Morning,3,3,,,,,,,,,,,,,,,,,,,,,,
20/07/2019,12:08:00,12,Sat,15800,Unknown,Morning,3,1,,,,,,,,,,,,,,1,,,,,,,1,
20/07/2019,12:13:00,12,Sat,26300,Unknown,Morning,6,1,,,,,1,,,1,,,,,,,,,1,1,,,1,
20/07/2019,12:31:00,12,Sat,14800,Unknown,Morning,3,1,,,,,1,,,1,,,,,,,,,,,,,,
20/07/2019,12:55:00,12,Sat,15800,Unknown,Morning,3,1,,,,,,1,,,,,,,,,,,1,,,,,
20/07/2019,13:19:00,13,Sat,20500,Unknown,Afternoon,5,,,,,2,,1,,2,,,,,,,,,,,,,,
20/07/2019,13:44:00,13,Sat,18600,Unknown,Afternoon,4,2,,,,1,,,,1,,,,,,,,,,,,,,
20/07/2019,13:56:00,13,Sat,17800,Unknown,Afternoon,4,1,,,1,1,,,,1,,,,,,,,,,,,,,
21/07/2019,11:07:00,11,Sun,18600,Unknown,Morning,4,1,,,,1,,,,,,,,,1,,,,,,,,1,
21/07/2019,11:42:00,11,Sun,17300,Unknown,Morning,4,1,1,,,1,,,,1,,,,,,,,,,,,,,
21/07/2019,12:12:00,12,Sun,17800,Unknown,Morning,4,1,,,1,,,,,,,,,,,,,,1,1,,,,
21/07/2019,12:25:00,12,Sun,14800,Unknown,Morning,3,1,,,,,1,,,1,,,,,,,,,,,,,,
